id,name,num_records,ocean,date,year,utc_hours_mins,record_identifier,sys_status,latitude,longitude,max_wind,min_pressure,max_wind_radius
AL011851,UNNAMED,14,atlantic,18510625,1851,0000,,HU,28.0N,94.8W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510625,1851,0600,,HU,28.0N,95.4W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510625,1851,1200,,HU,28.0N,96.0W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510625,1851,1800,,HU,28.1N,96.5W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510625,1851,2100,L,HU,28.2N,96.8W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510626,1851,0000,,HU,28.2N,97.0W,70,-999, -999
AL011851,UNNAMED,14,atlantic,18510626,1851,0600,,TS,28.3N,97.6W,60,-999, -999
AL011851,UNNAMED,14,atlantic,18510626,1851,1200,,TS,28.4N,98.3W,60,-999, -999
AL011851,UNNAMED,14,atlantic,18510626,1851,1800,,TS,28.6N,98.9W,50,-999, -999
AL011851,UNNAMED,14,atlantic,18510627,1851,0000,,TS,29.0N,99.4W,50,-999, -999
AL011851,UNNAMED,14,atlantic,18510627,1851,0600,,TS,29.5N,99.8W,40,-999, -999
AL011851,UNNAMED,14,atlantic,18510627,1851,1200,,TS,30.0N,100.0W,40,-999, -999
AL011851,UNNAMED,14,atlantic,18510627,1851,1800,,TS,30.5N,100.1W,40,-999, -999
AL011851,UNNAMED,14,atlantic,18510628,1851,0000,,TS,31.0N,100.2W,40,-999, -999
AL021851,UNNAMED,1,atlantic,18510705,1851,1200,,HU,22.2N,97.6W,80,-999, -999
AL031851,UNNAMED,1,atlantic,18510710,1851,1200,,TS,12.0N,60.0W,50,-999, -999
AL041851,UNNAMED,49,atlantic,18510816,1851,0000,,TS,13.4N,48.0W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510816,1851,0600,,TS,13.7N,49.5W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510816,1851,1200,,TS,14.0N,51.0W,50,-999, -999
AL041851,UNNAMED,49,atlantic,18510816,1851,1800,,TS,14.4N,52.8W,50,-999, -999
AL041851,UNNAMED,49,atlantic,18510817,1851,0000,,TS,14.9N,54.6W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510817,1851,0600,,TS,15.4N,56.5W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510817,1851,1200,,HU,15.9N,58.5W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510817,1851,1800,,HU,16.1N,60.4W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510818,1851,0000,,HU,16.6N,62.5W,80,-999, -999
AL041851,UNNAMED,49,atlantic,18510818,1851,0600,,HU,16.9N,64.1W,80,-999, -999
AL041851,UNNAMED,49,atlantic,18510818,1851,1200,,HU,17.2N,66.0W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510818,1851,1800,,HU,17.6N,67.6W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510819,1851,0000,,HU,18.0N,69.3W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510819,1851,0600,,HU,18.4N,71.1W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510819,1851,1200,,TS,18.9N,72.6W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510819,1851,1800,,TS,19.4N,74.3W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510820,1851,0000,,HU,19.9N,75.9W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510820,1851,0600,,HU,20.5N,77.6W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510820,1851,1200,,HU,21.2N,79.0W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510820,1851,1800,,HU,21.9N,80.4W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510821,1851,0000,,TS,22.6N,81.4W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510821,1851,0600,,TS,23.2N,82.5W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510821,1851,1200,,HU,23.9N,83.6W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510821,1851,1800,,HU,24.4N,84.3W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510822,1851,0000,,HU,25.0N,84.9W,80,-999, -999
AL041851,UNNAMED,49,atlantic,18510822,1851,0600,,HU,25.6N,85.5W,80,-999, -999
AL041851,UNNAMED,49,atlantic,18510822,1851,1200,,HU,26.2N,86.0W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510822,1851,1800,,HU,26.8N,86.3W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,0000,,HU,27.4N,86.5W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,0600,,HU,28.0N,86.6W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,1200,,HU,28.5N,86.6W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,1800,,HU,29.6N,86.1W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,2100,L,HU,30.1N,85.7W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510824,1851,0000,,HU,30.7N,85.1W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510824,1851,0600,,HU,31.6N,84.1W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510824,1851,1200,,TS,32.5N,83.0W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510824,1851,1800,,TS,33.4N,81.4W,50,-999, -999
AL041851,UNNAMED,49,atlantic,18510825,1851,0000,,TS,34.0N,80.0W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510825,1851,0600,,TS,34.8N,78.6W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510825,1851,1200,,TS,35.8N,77.0W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510825,1851,1800,,TS,36.8N,75.1W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510826,1851,0000,,TS,37.8N,73.6W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510826,1851,0600,,TS,38.9N,71.8W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510826,1851,1200,,TS,40.0N,70.0W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510826,1851,1800,,TS,41.3N,66.8W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510827,1851,0000,,TS,42.8N,63.3W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510827,1851,0600,,TS,44.5N,60.2W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510827,1851,1200,,TS,46.4N,57.2W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510827,1851,1800,,TS,48.5N,54.2W,40,-999, -999
AL051851,UNNAMED,16,atlantic,18510913,1851,0000,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510913,1851,0600,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510913,1851,1200,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510913,1851,1800,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510914,1851,0000,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510914,1851,0600,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510914,1851,1200,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510914,1851,1800,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510915,1851,0000,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510915,1851,0600,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510915,1851,1200,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510915,1851,1800,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510916,1851,0000,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510916,1851,0600,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510916,1851,1200,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510916,1851,1800,,TS,32.5N,73.5W,50,-999, -999
AL061851,UNNAMED,17,atlantic,18511016,1851,0000,,TS,28.7N,78.0W,40,-999, -999
AL061851,UNNAMED,17,atlantic,18511016,1851,0600,,TS,29.1N,77.8W,40,-999, -999
AL061851,UNNAMED,17,atlantic,18511016,1851,1200,,TS,29.5N,77.5W,50,-999, -999
AL061851,UNNAMED,17,atlantic,18511016,1851,1800,,TS,30.1N,77.1W,50,-999, -999
AL061851,UNNAMED,17,atlantic,18511017,1851,0000,,TS,30.7N,76.6W,60,-999, -999
AL061851,UNNAMED,17,atlantic,18511017,1851,0600,,TS,31.2N,76.3W,60,-999, -999
AL061851,UNNAMED,17,atlantic,18511017,1851,1200,,TS,31.6N,75.9W,60,-999, -999
AL061851,UNNAMED,17,atlantic,18511017,1851,1800,,TS,32.0N,75.5W,60,-999, -999
AL061851,UNNAMED,17,atlantic,18511018,1851,0000,,TS,32.7N,74.9W,60,-999, -999
AL061851,UNNAMED,17,atlantic,18511018,1851,0600,,TS,33.3N,74.3W,60,-999, -999
AL061851,UNNAMED,17,atlantic,18511018,1851,1200,,TS,34.0N,73.8W,60,-999, -999
AL061851,UNNAMED,17,atlantic,18511018,1851,1800,,TS,35.3N,73.0W,60,-999, -999
AL061851,UNNAMED,17,atlantic,18511019,1851,0000,,TS,37.0N,72.6W,50,-999, -999
AL061851,UNNAMED,17,atlantic,18511019,1851,0600,,TS,38.5N,72.1W,50,-999, -999
AL061851,UNNAMED,17,atlantic,18511019,1851,1200,,TS,40.2N,71.8W,50,-999, -999
AL061851,UNNAMED,17,atlantic,18511019,1851,1500,L,TS,41.1N,71.7W,50,-999, -999
AL061851,UNNAMED,17,atlantic,18511019,1851,1800,,TS,42.0N,71.6W,40,-999, -999
AL011852,UNNAMED,45,atlantic,18520819,1852,0000,,TS,20.5N,67.1W,60,-999, -999
AL011852,UNNAMED,45,atlantic,18520819,1852,0600,,TS,20.7N,68.0W,60,-999, -999
AL011852,UNNAMED,45,atlantic,18520819,1852,1200,,TS,20.9N,68.8W,60,-999, -999
AL011852,UNNAMED,45,atlantic,18520819,1852,1800,,TS,21.1N,69.6W,60,-999, -999
AL011852,UNNAMED,45,atlantic,18520820,1852,0000,,HU,21.2N,70.6W,70,-999, -999
AL011852,UNNAMED,45,atlantic,18520820,1852,0600,,HU,21.5N,71.9W,70,-999, -999
AL011852,UNNAMED,45,atlantic,18520820,1852,1200,,HU,21.7N,73.0W,70,-999, -999
AL011852,UNNAMED,45,atlantic,18520820,1852,1800,,HU,21.9N,74.0W,70,-999, -999
AL011852,UNNAMED,45,atlantic,18520821,1852,0000,,HU,22.1N,74.9W,80,-999, -999
AL011852,UNNAMED,45,atlantic,18520821,1852,0600,,HU,22.2N,76.1W,80,-999, -999
AL011852,UNNAMED,45,atlantic,18520821,1852,1200,,HU,22.6N,77.1W,80,-999, -999
AL011852,UNNAMED,45,atlantic,18520821,1852,1800,,HU,22.9N,78.1W,80,-999, -999
AL011852,UNNAMED,45,atlantic,18520822,1852,0000,,HU,23.2N,79.3W,90,-999, -999
AL011852,UNNAMED,45,atlantic,18520822,1852,0600,,HU,23.5N,80.1W,90,-999, -999
AL011852,UNNAMED,45,atlantic,18520822,1852,1200,,HU,23.8N,81.1W,90,-999, -999
AL011852,UNNAMED,45,atlantic,18520822,1852,1800,,HU,24.2N,82.1W,90,-999, -999
AL011852,UNNAMED,45,atlantic,18520823,1852,0000,,HU,24.7N,83.1W,90,-999, -999
AL011852,UNNAMED,45,atlantic,18520823,1852,0600,,HU,25.2N,83.9W,90,-999, -999
AL011852,UNNAMED,45,atlantic,18520823,1852,1200,,HU,25.7N,84.6W,90,-999, -999
AL011852,UNNAMED,45,atlantic,18520823,1852,1800,,HU,26.2N,85.3W,90,-999, -999
AL011852,UNNAMED,45,atlantic,18520824,1852,0000,,HU,26.7N,86.0W,100,-999, -999
AL011852,UNNAMED,45,atlantic,18520824,1852,0600,,HU,27.2N,86.6W,100,-999, -999
AL011852,UNNAMED,45,atlantic,18520824,1852,1200,,HU,27.7N,87.1W,100,-999, -999
AL011852,UNNAMED,45,atlantic,18520824,1852,1800,,HU,28.2N,87.5W,100,-999, -999
AL011852,UNNAMED,45,atlantic,18520825,1852,0000,,HU,28.6N,87.8W,100,-999, -999
AL011852,UNNAMED,45,atlantic,18520825,1852,0600,,HU,28.8N,88.0W,100,-999, -999
AL011852,UNNAMED,45,atlantic,18520825,1852,1200,,HU,29.1N,88.2W,100,-999, -999
AL011852,UNNAMED,45,atlantic,18520825,1852,1800,,HU,29.4N,88.4W,100,-999, -999
AL011852,UNNAMED,45,atlantic,18520826,1852,0000,,HU,29.8N,88.6W,100,-999, -999
AL011852,UNNAMED,45,atlantic,18520826,1852,0600,L,HU,30.2N,88.6W,100,961, -999
AL011852,UNNAMED,45,atlantic,18520826,1852,1200,,HU,30.6N,88.5W,90,-999, -999
AL011852,UNNAMED,45,atlantic,18520826,1852,1800,,HU,31.2N,88.1W,70,-999, -999
AL011852,UNNAMED,45,atlantic,18520827,1852,0000,,TS,31.8N,87.4W,50,-999, -999
AL011852,UNNAMED,45,atlantic,18520827,1852,0600,,TS,32.3N,86.3W,40,-999, -999
AL011852,UNNAMED,45,atlantic,18520827,1852,1200,,TS,32.8N,84.8W,40,-999, -999
AL011852,UNNAMED,45,atlantic,18520827,1852,1800,,TS,33.2N,82.8W,40,-999, -999
AL011852,UNNAMED,45,atlantic,18520828,1852,0000,,TS,33.5N,80.5W,40,-999, -999
AL011852,UNNAMED,45,atlantic,18520828,1852,0600,,TS,33.8N,78.2W,40,-999, -999
AL011852,UNNAMED,45,atlantic,18520828,1852,1200,,TS,34.0N,76.0W,40,-999, -999
AL011852,UNNAMED,45,atlantic,18520828,1852,1800,,TS,34.4N,74.2W,40,-999, -999
AL011852,UNNAMED,45,atlantic,18520829,1852,0000,,TS,35.2N,72.8W,50,-999, -999
AL011852,UNNAMED,45,atlantic,18520829,1852,0600,,TS,36.4N,71.8W,50,-999, -999
AL011852,UNNAMED,45,atlantic,18520829,1852,1200,,TS,38.0N,70.8W,50,-999, -999
AL011852,UNNAMED,45,atlantic,18520829,1852,1800,,TS,39.6N,69.6W,50,-999, -999
AL011852,UNNAMED,45,atlantic,18520830,1852,0000,,TS,41.0N,68.0W,50,-999, -999
AL021852,UNNAMED,8,atlantic,18520905,1852,0000,,HU,17.0N,64.1W,70,-999, -999
AL021852,UNNAMED,8,atlantic,18520905,1852,0600,,HU,17.4N,65.1W,70,-999, -999
AL021852,UNNAMED,8,atlantic,18520905,1852,1200,,HU,17.7N,66.1W,70,-999, -999
AL021852,UNNAMED,8,atlantic,18520905,1852,1800,,TS,18.2N,67.1W,60,-999, -999
AL021852,UNNAMED,8,atlantic,18520906,1852,0000,,TS,18.6N,68.8W,60,-999, -999
AL021852,UNNAMED,8,atlantic,18520906,1852,0600,,TS,19.2N,70.1W,50,-999, -999
AL021852,UNNAMED,8,atlantic,18520906,1852,1200,,TS,19.5N,71.4W,40,-999, -999
AL021852,UNNAMED,8,atlantic,18520906,1852,1800,,TS,19.7N,72.5W,40,-999, -999
AL031852,UNNAMED,20,atlantic,18520909,1852,0000,,HU,26.4N,90.4W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520909,1852,0600,,HU,26.5N,89.6W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520909,1852,1200,,HU,26.6N,88.8W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520909,1852,1800,,HU,26.6N,88.1W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520910,1852,0000,,HU,26.8N,87.4W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520910,1852,0600,,HU,26.9N,86.6W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520910,1852,1200,,HU,27.1N,86.1W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520910,1852,1800,,HU,27.3N,85.6W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520911,1852,0000,,HU,27.5N,85.1W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520911,1852,0600,,HU,27.7N,84.6W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520911,1852,1200,,HU,27.8N,84.0W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520911,1852,1800,,HU,27.9N,83.4W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520912,1852,0000,L,HU,28.0N,82.8W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520912,1852,0600,,TS,28.1N,82.2W,60,-999, -999
AL031852,UNNAMED,20,atlantic,18520912,1852,1200,,TS,28.2N,81.5W,50,-999, -999
AL031852,UNNAMED,20,atlantic,18520912,1852,1800,,TS,28.5N,80.5W,50,-999, -999
AL031852,UNNAMED,20,atlantic,18520913,1852,0000,,TS,29.2N,79.0W,60,-999, -999
AL031852,UNNAMED,20,atlantic,18520913,1852,0600,,HU,30.4N,77.0W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520913,1852,1200,,HU,32.0N,74.5W,70,-999, -999
AL031852,UNNAMED,20,atlantic,18520913,1852,1800,,HU,34.0N,71.5W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520922,1852,0000,,TS,16.1N,58.5W,50,-999, -999
AL041852,UNNAMED,36,atlantic,18520922,1852,0600,,TS,16.4N,59.1W,50,-999, -999
AL041852,UNNAMED,36,atlantic,18520922,1852,1200,,TS,16.7N,59.7W,50,-999, -999
AL041852,UNNAMED,36,atlantic,18520922,1852,1800,,TS,17.0N,60.3W,50,-999, -999
AL041852,UNNAMED,36,atlantic,18520923,1852,0000,,TS,17.4N,61.2W,60,-999, -999
AL041852,UNNAMED,36,atlantic,18520923,1852,0600,,TS,17.7N,62.2W,60,-999, -999
AL041852,UNNAMED,36,atlantic,18520923,1852,1200,,HU,18.1N,63.1W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520923,1852,1800,,HU,18.4N,63.7W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520924,1852,0000,,HU,18.7N,64.3W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520924,1852,0600,,HU,18.9N,65.0W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520924,1852,1200,,HU,19.1N,65.8W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520924,1852,1800,,HU,19.2N,66.6W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520925,1852,0000,,HU,19.5N,67.4W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520925,1852,0600,,HU,19.7N,68.1W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520925,1852,1200,,HU,19.9N,68.8W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520925,1852,1800,,HU,20.0N,69.6W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520926,1852,0000,,HU,20.1N,70.3W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520926,1852,0600,,HU,20.4N,70.9W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520926,1852,1200,,HU,20.7N,71.6W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520926,1852,1800,,HU,21.0N,72.1W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520927,1852,0000,,HU,21.4N,73.0W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520927,1852,0600,,HU,21.9N,73.6W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520927,1852,1200,,HU,22.5N,74.0W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520927,1852,1800,,HU,23.2N,74.4W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520928,1852,0000,,HU,23.9N,74.6W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520928,1852,0600,,HU,24.6N,74.6W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520928,1852,1200,,HU,25.4N,74.5W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520928,1852,1800,,HU,26.5N,74.0W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520929,1852,0000,,HU,27.4N,73.5W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520929,1852,0600,,HU,28.2N,72.9W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520929,1852,1200,,HU,29.0N,72.3W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520929,1852,1800,,HU,30.2N,71.5W,80,-999, -999
AL041852,UNNAMED,36,atlantic,18520930,1852,0000,,HU,31.6N,70.5W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520930,1852,0600,,HU,32.7N,69.6W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520930,1852,1200,,HU,33.8N,69.1W,70,-999, -999
AL041852,UNNAMED,36,atlantic,18520930,1852,1800,,HU,34.9N,68.6W,70,-999, -999
AL051852,UNNAMED,25,atlantic,18521006,1852,0000,,HU,17.0N,73.8W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521006,1852,0600,,HU,17.1N,75.0W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521006,1852,1200,,HU,17.2N,76.3W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521006,1852,1800,,HU,17.2N,77.8W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521007,1852,0000,,HU,17.7N,79.6W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521007,1852,0600,,HU,18.2N,81.5W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521007,1852,1200,,HU,18.7N,83.1W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521007,1852,1800,,HU,19.5N,84.4W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521008,1852,0000,,HU,20.4N,85.5W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521008,1852,0600,,HU,21.2N,86.4W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521008,1852,1200,,HU,22.4N,86.9W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521008,1852,1800,,HU,24.0N,86.8W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521009,1852,0000,,HU,25.6N,86.4W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521009,1852,0600,,HU,26.9N,85.9W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521009,1852,1200,,HU,28.0N,85.5W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521009,1852,1800,,HU,29.2N,84.9W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521009,1852,2100,L,HU,29.9N,84.4W,90,-999, -999
AL051852,UNNAMED,25,atlantic,18521010,1852,0000,,HU,30.5N,83.9W,80,-999, -999
AL051852,UNNAMED,25,atlantic,18521010,1852,0600,,TS,31.8N,82.8W,60,-999, -999
AL051852,UNNAMED,25,atlantic,18521010,1852,1200,,TS,33.0N,81.1W,50,-999, -999
AL051852,UNNAMED,25,atlantic,18521010,1852,1800,,TS,34.0N,79.5W,50,-999, -999
AL051852,UNNAMED,25,atlantic,18521011,1852,0000,,TS,35.0N,77.0W,50,-999, -999
AL051852,UNNAMED,25,atlantic,18521011,1852,0600,,TS,36.0N,74.0W,50,-999, -999
AL051852,UNNAMED,25,atlantic,18521011,1852,1200,,TS,38.0N,70.0W,60,-999, -999
AL051852,UNNAMED,25,atlantic,18521011,1852,1800,,TS,40.0N,66.0W,60,-999, -999
AL011853,UNNAMED,1,atlantic,18530805,1853,1200,,TS,32.5N,69.0W,50,-999, -999
AL021853,UNNAMED,1,atlantic,18530810,1853,1200,,TS,12.0N,60.0W,40,-999, -999
AL031853,UNNAMED,48,atlantic,18530830,1853,0000,,TS,12.1N,23.2W,40,-999, -999
AL031853,UNNAMED,48,atlantic,18530830,1853,0600,,TS,12.3N,25.1W,40,-999, -999
AL031853,UNNAMED,48,atlantic,18530830,1853,1200,,TS,12.5N,27.0W,40,-999, -999
AL031853,UNNAMED,48,atlantic,18530830,1853,1800,,TS,12.8N,28.9W,40,-999, -999
AL031853,UNNAMED,48,atlantic,18530831,1853,0000,,TS,13.0N,30.9W,50,-999, -999
AL031853,UNNAMED,48,atlantic,18530831,1853,0600,,TS,13.3N,33.0W,50,-999, -999
AL031853,UNNAMED,48,atlantic,18530831,1853,1200,,TS,13.6N,35.0W,60,-999, -999
AL031853,UNNAMED,48,atlantic,18530831,1853,1800,,TS,13.9N,36.8W,60,-999, -999
AL031853,UNNAMED,48,atlantic,18530901,1853,0000,,HU,14.2N,38.5W,70,-999, -999
AL031853,UNNAMED,48,atlantic,18530901,1853,0600,,HU,14.6N,40.5W,70,-999, -999
AL031853,UNNAMED,48,atlantic,18530901,1853,1200,,HU,14.9N,42.3W,80,-999, -999
AL031853,UNNAMED,48,atlantic,18530901,1853,1800,,HU,15.2N,43.9W,80,-999, -999
AL031853,UNNAMED,48,atlantic,18530902,1853,0000,,HU,15.7N,45.7W,90,-999, -999
AL031853,UNNAMED,48,atlantic,18530902,1853,0600,,HU,16.2N,47.3W,90,-999, -999
AL031853,UNNAMED,48,atlantic,18530902,1853,1200,,HU,16.7N,49.0W,100,-999, -999
AL031853,UNNAMED,48,atlantic,18530902,1853,1800,,HU,17.4N,51.0W,110,-999, -999
AL031853,UNNAMED,48,atlantic,18530903,1853,0000,,HU,18.2N,52.8W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530903,1853,0600,,HU,19.1N,54.6W,130,-999, -999
AL031853,UNNAMED,48,atlantic,18530903,1853,1200,,HU,19.7N,56.2W,130,924, -999
AL031853,UNNAMED,48,atlantic,18530903,1853,1800,,HU,20.7N,58.0W,130,-999, -999
AL031853,UNNAMED,48,atlantic,18530904,1853,0000,,HU,21.2N,59.9W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530904,1853,0600,,HU,22.0N,61.8W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530904,1853,1200,,HU,22.7N,63.7W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530904,1853,1800,,HU,23.4N,65.3W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530905,1853,0000,,HU,24.2N,67.1W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530905,1853,0600,,HU,25.0N,68.6W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530905,1853,1200,,HU,25.8N,70.1W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530905,1853,1800,,HU,26.6N,71.1W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530906,1853,0000,,HU,27.3N,72.0W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530906,1853,0600,,HU,28.2N,72.9W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530906,1853,1200,,HU,29.1N,73.5W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530906,1853,1800,,HU,30.2N,74.0W,120,-999, -999
AL031853,UNNAMED,48,atlantic,18530907,1853,0000,,HU,31.2N,74.3W,110,-999, -999
AL031853,UNNAMED,48,atlantic,18530907,1853,0600,,HU,32.5N,74.1W,110,-999, -999
AL031853,UNNAMED,48,atlantic,18530907,1853,1200,,HU,33.7N,73.9W,100,-999, -999
AL031853,UNNAMED,48,atlantic,18530907,1853,1800,,HU,34.9N,72.9W,100,-999, -999
AL031853,UNNAMED,48,atlantic,18530908,1853,0000,,HU,36.0N,71.6W,100,-999, -999
AL031853,UNNAMED,48,atlantic,18530908,1853,0600,,HU,36.8N,69.9W,100,-999, -999
AL031853,UNNAMED,48,atlantic,18530908,1853,1200,,HU,37.5N,67.9W,100,-999, -999
